Date,Block ,Well,Row,Column,Light.lvl,Replicate,Orientation,Voltage,Amps,PPFD,Notes,,,,,
10/12/20,4,1,1,1,1,1,Top,7.00,0.07,3,,,,,,
10/12/20,4,1,1,1,1,2,Top,7.00,0.07,3,,,,,,
10/12/20,4,1,1,1,1,3,Top,7.00,0.07,3,,,,,,
10/12/20,4,1,1,1,1,4,Top,7.00,0.07,3,,,,,,
10/12/20,4,1,1,1,1,5,Top,7.00,0.07,3,,,,,,
10/12/20,4,1,1,1,1,6,Top,7.00,0.07,3,,,,,,
10/12/20,4,4,1,2,1,1,Top,7.00,0.07,3,,,,,,
10/12/20,4,4,1,2,1,2,Top,7.00,0.07,3,,,,,,
10/12/20,4,4,1,2,1,3,Top,7.00,0.07,3,,,,,,
10/12/20,4,4,1,2,1,4,Top,7.00,0.07,3,,,,,,
10/12/20,4,4,1,2,1,5,Top,7.00,0.07,3,,,,,,
10/12/20,4,4,1,2,1,6,Top,7.00,0.07,3,,,,,,
10/12/20,4,7,1,3,1,1,Top,7.00,0.07,3,,,,,,
10/12/20,4,7,1,3,1,2,Top,7.00,0.07,3,,,,,,
10/12/20,4,7,1,3,1,3,Top,7.00,0.07,3,,,,,,
10/12/20,4,7,1,3,1,4,Top,7.00,0.07,3,,,,,,
10/12/20,4,7,1,3,1,5,Top,7.00,0.07,3,,,,,,
10/12/20,4,7,1,3,1,6,Top,7.00,0.07,3,,,,,,
10/12/20,4,10,1,4,1,1,Top,7.00,0.07,3,,,,,,
10/12/20,4,10,1,4,1,2,Top,7.00,0.07,3,,,,,,
10/12/20,4,10,1,4,1,3,Top,7.00,0.07,3,,,,,,
10/12/20,4,10,1,4,1,4,Top,7.00,0.07,3,,,,,,
10/12/20,4,10,1,4,1,5,Top,7.00,0.07,3,,,,,,
10/12/20,4,10,1,4,1,6,Top,7.00,0.07,3,,,,,,
10/12/20,4,13,1,5,1,1,Top,7.00,0.07,4,,,,,,
10/12/20,4,13,1,5,1,2,Top,7.00,0.07,4,,,,,,
10/12/20,4,13,1,5,1,3,Top,7.00,0.07,4,,,,,,
10/12/20,4,13,1,5,1,4,Top,7.00,0.07,4,,,,,,
10/12/20,4,13,1,5,1,5,Top,7.00,0.07,3,,,,,,
10/12/20,4,13,1,5,1,6,Top,7.00,0.07,4,,,,,,
10/12/20,4,16,1,6,1,1,Top,7.00,0.07,5,,,,,,
10/12/20,4,16,1,6,1,2,Top,7.00,0.07,4,,,,,,
10/12/20,4,16,1,6,1,3,Top,7.00,0.07,5,,,,,,
10/12/20,4,16,1,6,1,4,Top,7.00,0.07,4,,,,,,
10/12/20,4,16,1,6,1,5,Top,7.00,0.07,4,,,,,,
10/12/20,4,16,1,6,1,6,Top,7.00,0.07,4,,,,,,
10/12/20,4,19,1,7,1,1,Top,7.00,0.07,4,,,,,,
10/12/20,4,19,1,7,1,2,Top,7.00,0.07,4,,,,,,
10/12/20,4,19,1,7,1,3,Top,7.00,0.07,4,,,,,,
10/12/20,4,19,1,7,1,4,Top,7.00,0.07,4,,,,,,
10/12/20,4,19,1,7,1,5,Top,7.00,0.07,4,,,,,,
10/12/20,4,19,1,7,1,6,Top,7.00,0.07,5,,,,,,
10/12/20,4,22,1,8,1,1,Top,7.00,0.07,4,,,,,,
10/12/20,4,22,1,8,1,2,Top,7.00,0.07,4,,,,,,
10/12/20,4,22,1,8,1,3,Top,7.00,0.07,4,,,,,,
10/12/20,4,22,1,8,1,4,Top,7.00,0.07,4,,,,,,
10/12/20,4,22,1,8,1,5,Top,7.00,0.07,4,,,,,,
10/12/20,4,22,1,8,1,6,Top,7.00,0.07,5,,,,,,
10/12/20,4,25,1,9,1,1,Top,7.00,0.07,3,,,,,,
10/12/20,4,25,1,9,1,2,Top,7.00,0.07,3,,,,,,
10/12/20,4,25,1,9,1,3,Top,7.00,0.07,3,,,,,,
10/12/20,4,25,1,9,1,4,Top,7.00,0.07,4,,,,,,
10/12/20,4,25,1,9,1,5,Top,7.00,0.07,3,,,,,,
10/12/20,4,25,1,9,1,6,Top,7.00,0.07,3,,,,,,
10/12/20,4,2,2,1,2,1,Top,7.00,0.07,24,,,,,,
10/12/20,4,2,2,1,2,2,Top,7.00,0.30,18,,,,,,
10/12/20,4,2,2,1,2,3,Top,7.00,0.30,19,,,,,,
10/12/20,4,2,2,1,2,4,Top,7.00,0.30,17,,,,,,
10/12/20,4,2,2,1,2,5,Top,7.00,0.30,16,,,,,,
10/12/20,4,2,2,1,2,6,Top,7.00,0.30,19,,,,,,
10/12/20,4,5,2,2,2,1,Top,7.00,0.30,20,,,,,,
10/12/20,4,5,2,2,2,2,Top,7.00,0.30,15,,,,,,
10/12/20,4,5,2,2,2,3,Top,7.00,0.30,14,,,,,,
10/12/20,4,5,2,2,2,4,Top,7.00,0.30,16,,,,,,
10/12/20,4,5,2,2,2,5,Top,7.00,0.30,12,,,,,,
10/12/20,4,5,2,2,2,6,Top,7.00,0.30,17,,,,,,
10/12/20,4,8,2,3,2,1,Top,7.00,0.30,23,,,,,,
10/12/20,4,8,2,3,2,2,Top,7.00,0.30,18,,,,,,
10/12/20,4,8,2,3,2,3,Top,7.00,0.30,17,,,,,,
10/12/20,4,8,2,3,2,4,Top,7.00,0.30,19,,,,,,
10/12/20,4,8,2,3,2,5,Top,7.00,0.30,17,,,,,,
10/12/20,4,8,2,3,2,6,Top,7.00,0.30,19,,,,,,
10/12/20,4,11,2,4,2,1,Top,7.00,0.30,16,,,,,,
10/12/20,4,11,2,4,2,2,Top,7.00,0.30,20,,,,,,
10/12/20,4,11,2,4,2,3,Top,7.00,0.30,15,,,,,,
10/12/20,4,11,2,4,2,4,Top,7.00,0.30,16,,,,,,
10/12/20,4,11,2,4,2,5,Top,7.00,0.30,14,,,,,,
10/12/20,4,11,2,4,2,6,Top,7.00,0.30,19,,,,,,
10/12/20,4,14,2,5,2,1,Top,7.00,0.30,26,,,,,,
10/12/20,4,14,2,5,2,2,Top,7.00,0.30,22,,,,,,
10/12/20,4,14,2,5,2,3,Top,7.00,0.30,23,,,,,,
10/12/20,4,14,2,5,2,4,Top,7.00,0.30,23,,,,,,
10/12/20,4,14,2,5,2,5,Top,7.00,0.30,21,,,,,,
10/12/20,4,14,2,5,2,6,Top,7.00,0.30,23,,,,,,
10/12/20,4,17,2,6,2,1,Top,7.00,0.30,19,,,,,,
10/12/20,4,17,2,6,2,2,Top,7.00,0.30,21,,,,,,
10/12/20,4,17,2,6,2,3,Top,7.00,0.30,19,,,,,,
10/12/20,4,17,2,6,2,4,Top,7.00,0.30,20,,,,,,
10/12/20,4,17,2,6,2,5,Top,7.00,0.30,18,,,,,,
10/12/20,4,17,2,6,2,6,Top,7.00,0.30,19,,,,,,
10/12/20,4,20,2,7,2,1,Top,7.00,0.30,21,,,,,,
10/12/20,4,20,2,7,2,2,Top,7.00,0.30,15,,,,,,
10/12/20,4,20,2,7,2,3,Top,7.00,0.30,16,,,,,,
