Name,Date,Time,Species,TGB_number,Sample_ID,Replicate,Treatment,Light.lvl,RFU_raw,Notes
Tamara Layden,12/16/20,9:49,C. vulgaris,4,1,A,1,1,761.57,
Tamara Layden,12/16/20,9:49,C. vulgaris,4,1,B,1,1,807.85,
Tamara Layden,12/16/20,9:49,C. vulgaris,4,1,C,1,1,908.03,
Tamara Layden,12/16/20,9:49,C. vulgaris,4,4,A,2,1,693.86,
Tamara Layden,12/16/20,9:49,C. vulgaris,4,4,B,2,1,649.25,
Tamara Layden,12/16/20,9:50,C. vulgaris,4,4,C,2,1,696.91,
Tamara Layden,12/16/20,9:50,C. vulgaris,4,7,A,3,1,978.61,
Tamara Layden,12/16/20,9:50,C. vulgaris,4,7,B,3,1,973.76,
Tamara Layden,12/16/20,9:50,C. vulgaris,4,7,C,3,1,878.12,
Tamara Layden,12/16/20,9:50,C. vulgaris,4,10,A,4,1,1306.82,
Tamara Layden,12/16/20,9:50,C. vulgaris,4,10,B,4,1,1310.23,
Tamara Layden,12/16/20,9:51,C. vulgaris,4,10,C,4,1,1335.61,
Tamara Layden,12/16/20,9:51,C. vulgaris,4,13,A,5,1,827.14,
Tamara Layden,12/16/20,9:51,C. vulgaris,4,13,B,5,1,889.7,
Tamara Layden,12/16/20,9:51,C. vulgaris,4,13,C,5,1,931.7,
Tamara Layden,12/16/20,9:51,C. vulgaris,4,16,A,6,1,780.2,
Tamara Layden,12/16/20,9:51,C. vulgaris,4,16,B,6,1,785.27,
Tamara Layden,12/16/20,9:51,C. vulgaris,4,16,C,6,1,699.85,
Tamara Layden,12/16/20,9:52,C. vulgaris,4,19,A,7,1,571.94,
Tamara Layden,12/16/20,9:52,C. vulgaris,4,19,B,7,1,775.45,
Tamara Layden,12/16/20,9:52,C. vulgaris,4,19,C,7,1,852.75,
Tamara Layden,12/16/20,9:52,C. vulgaris,4,22,A,8,1,689.52,
Tamara Layden,12/16/20,9:52,C. vulgaris,4,22,B,8,1,699.93,
Tamara Layden,12/16/20,9:52,C. vulgaris,4,22,C,8,1,819.93,
Tamara Layden,12/16/20,9:52,C. vulgaris,4,25,A,9,1,294.1,
Tamara Layden,12/16/20,9:53,C. vulgaris,4,25,B,9,1,665.61,
Tamara Layden,12/16/20,9:53,C. vulgaris,4,25,C,9,1,915.92,
Tamara Layden,12/16/20,9:53,C. vulgaris,4,2,A,1,2,1452.49,
Tamara Layden,12/16/20,9:53,C. vulgaris,4,2,B,1,2,1591.68,
Tamara Layden,12/16/20,9:53,C. vulgaris,4,2,C,1,2,1564.12,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,5,A,2,2,509.62,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,5,B,2,2,641.91,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,5,C,2,2,549.26,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,8,A,3,2,1577.66,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,8,B,3,2,1592.37,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,8,C,3,2,1549.97,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,11,A,4,2,1561.58,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,11,B,4,2,1458.82,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,11,C,4,2,1518.53,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,14,A,5,2,2618.24,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,14,B,5,2,2472.21,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,14,C,5,2,2469.68,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,17,A,6,2,1465.05,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,17,B,6,2,1459.54,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,17,C,6,2,1305.86,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,20,A,7,2,1614.97,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,20,B,7,2,1884.16,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,20,C,7,2,1894.56,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,23,A,8,2,1858.22,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,23,B,8,2,1818.67,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,23,C,8,2,1683.21,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,26,A,9,2,2174.23,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,26,B,9,2,1550.29,
Tamara Layden,12/16/20,12:53,C. vulgaris,4,26,C,9,2,1576.54,
Tamara Layden,12/16/20,12:22,C. vulgaris,4,3,A,1,3,1422.56,
Tamara Layden,12/16/20,12:22,C. vulgaris,4,3,B,1,3,1309.41,
Tamara Layden,12/16/20,12:23,C. vulgaris,4,3,C,1,3,1344.38,
Tamara Layden,12/16/20,12:23,C. vulgaris,4,6,A,2,3,1285.09,
Tamara Layden,12/16/20,12:23,C. vulgaris,4,6,B,2,3,1257.19,
Tamara Layden,12/16/20,12:23,C. vulgaris,4,6,C,2,3,1272.08,
Tamara Layden,12/16/20,12:23,C. vulgaris,4,9,A,3,3,1973.24,
Tamara Layden,12/16/20,12:32,C. vulgaris,4,9,B,3,3,2134.87,
Tamara Layden,12/16/20,12:33,C. vulgaris,4,9,C,3,3,2097.74,
Tamara Layden,12/16/20,12:33,C. vulgaris,4,12,A,4,3,1512.76,
Tamara Layden,12/16/20,12:33,C. vulgaris,4,12,B,4,3,1754.98,
Tamara Layden,12/16/20,12:33,C. vulgaris,4,12,C,4,3,1511.2,
Tamara Layden,12/16/20,12:33,C. vulgaris,4,15,A,5,3,1764.57,
Tamara Layden,12/16/20,12:33,C. vulgaris,4,15,B,5,3,1721.47,
Tamara Layden,12/16/20,12:34,C. vulgaris,4,15,C,5,3,1692.7,
Tamara Layden,12/16/20,12:34,C. vulgaris,4,18,A,6,3,1764.22,
Tamara Layden,12/16/20,12:34,C. vulgaris,4,18,B,6,3,1590.11,
Tamara Layden,12/16/20,12:34,C. vulgaris,4,18,C,6,3,1526.58,
Tamara Layden,12/16/20,12:34,C. vulgaris,4,21,A,7,3,1249.25,
Tamara Layden,12/16/20,12:34,C. vulgaris,4,21,B,7,3,1213.41,
Tamara Layden,12/16/20,12:34,C. vulgaris,4,21,C,7,3,1351.24,
Tamara Layden,12/16/20,12:35,C. vulgaris,4,24,A,8,3,2483.57,
Tamara Layden,12/16/20,12:35,C. vulgaris,4,24,B,8,3,2711.19,
Tamara Layden,12/16/20,12:35,C. vulgaris,4,24,C,8,3,2722.55,
Tamara Layden,12/16/20,12:35,C. vulgaris,4,27,A,9,3,1203.17,
Tamara Layden,12/16/20,12:35,C. vulgaris,4,27,B,9,3,1056.87,
Tamara Layden,12/16/20,12:35,C. vulgaris,4,27,C,9,3,1316.48,
Tamara Layden,12/16/20,12:35,C. vulgaris,3,1,A,1,4,1293.12,
Tamara Layden,12/16/20,12:36,C. vulgaris,3,1,B,1,4,1257.61,
Tamara Layden,12/16/20,12:36,C. vulgaris,3,1,C,1,4,1248.24,
Tamara Layden,12/16/20,12:36,C. vulgaris,3,4,A,2,4,1572.41,
Tamara Layden,12/16/20,12:36,C. vulgaris,3,4,B,2,4,1456.57,
Tamara Layden,12/16/20,12:36,C. vulgaris,3,4,C,2,4,1451.6,
Tamara Layden,12/16/20,12:36,C. vulgaris,3,7,A,3,4,2000.84,
Tamara Layden,12/16/20,12:36,C. vulgaris,3,7,B,3,4,1751.25,
Tamara Layden,12/16/20,12:37,C. vulgaris,3,7,C,3,4,1721.47,
Tamara Layden,12/16/20,12:37,C. vulgaris,3,10,A,4,4,1742.33,
Tamara Layden,12/16/20,12:37,C. vulgaris,3,10,B,4,4,1996.1,
Tamara Layden,12/16/20,12:37,C. vulgaris,3,10,C,4,4,1798.07,
Tamara Layden,12/16/20,12:37,C. vulgaris,3,13,A,5,4,2005.5,
Tamara Layden,12/16/20,12:38,C. vulgaris,3,13,B,5,4,1907.37,
Tamara Layden,12/16/20,12:38,C. vulgaris,3,13,C,5,4,1839.42,
Tamara Layden,12/16/20,12:38,C. vulgaris,3,16,A,6,4,2483.97,
Tamara Layden,12/16/20,12:38,C. vulgaris,3,16,B,6,4,1934.03,
Tamara Layden,12/16/20,12:38,C. vulgaris,3,16,C,6,4,2624.09,
Tamara Layden,12/16/20,12:38,C. vulgaris,3,19,A,7,4,2114.81,
Tamara Layden,12/16/20,12:39,C. vulgaris,3,19,B,7,4,1702.99,
Tamara Layden,12/16/20,12:39,C. vulgaris,3,19,C,7,4,1650.66,
Tamara Layden,12/16/20,12:39,C. vulgaris,3,22,A,8,4,1756.31,
Tamara Layden,12/16/20,12:39,C. vulgaris,3,22,B,8,4,1830.91,
Tamara Layden,12/16/20,12:39,C. vulgaris,3,22,C,8,4,1627.16,
Tamara Layden,12/16/20,12:39,C. vulgaris,3,25,A,9,4,2675.89,
Tamara Layden,12/16/20,12:39,C. vulgaris,3,25,B,9,4,2668.69,
Tamara Layden,12/16/20,12:40,C. vulgaris,3,25,C,9,4,4000.56,
Tamara Layden,12/16/20,12:43,C. vulgaris,3,2,A,1,5,866.25,
Tamara Layden,12/16/20,12:43,C. vulgaris,3,2,B,1,5,856.67,
Tamara Layden,12/16/20,12:44,C. vulgaris,3,2,C,1,5,892.02,
Tamara Layden,12/16/20,12:44,C. vulgaris,3,5,A,2,5,1517.17,
Tamara Layden,12/16/20,12:44,C. vulgaris,3,5,B,2,5,1396.95,
Tamara Layden,12/16/20,12:44,C. vulgaris,3,5,C,2,5,1427.86,
Tamara Layden,12/16/20,12:44,C. vulgaris,3,8,A,3,5,2214.02,
Tamara Layden,12/16/20,12:44,C. vulgaris,3,8,B,3,5,2337.87,
Tamara Layden,12/16/20,12:44,C. vulgaris,3,8,C,3,5,2104.31,
Tamara Layden,12/16/20,12:45,C. vulgaris,3,11,A,4,5,2523.6,
Tamara Layden,12/16/20,12:45,C. vulgaris,3,11,B,4,5,2498.67,
Tamara Layden,12/16/20,12:45,C. vulgaris,3,11,C,4,5,2529.24,
Tamara Layden,12/16/20,12:45,C. vulgaris,3,14,A,5,5,3286.97,
Tamara Layden,12/16/20,12:45,C. vulgaris,3,14,B,5,5,3430.82,
Tamara Layden,12/16/20,12:45,C. vulgaris,3,14,C,5,5,2642.46,
Tamara Layden,12/16/20,12:45,C. vulgaris,3,17,A,6,5,4522.76,
Tamara Layden,12/16/20,12:46,C. vulgaris,3,17,B,6,5,1395.69,
Tamara Layden,12/16/20,12:46,C. vulgaris,3,17,C,6,5,1395.22,
Tamara Layden,12/16/20,12:46,C. vulgaris,3,20,A,7,5,1923.24,
Tamara Layden,12/16/20,12:46,C. vulgaris,3,20,B,7,5,2784.44,
Tamara Layden,12/16/20,12:46,C. vulgaris,3,20,C,7,5,1801.69,
Tamara Layden,12/16/20,12:46,C. vulgaris,3,23,A,8,5,2880.51,
Tamara Layden,12/16/20,12:46,C. vulgaris,3,23,B,8,5,4440.36,
Tamara Layden,12/16/20,12:47,C. vulgaris,3,23,C,8,5,1650.64,
Tamara Layden,12/16/20,12:47,C. vulgaris,3,26,A,9,5,1564.13,
Tamara Layden,12/16/20,12:47,C. vulgaris,3,26,C,9,5,4150.06,
Tamara Layden,12/16/20,12:47,C. vulgaris,3,26,C,9,5,2197.46,
Tamara Layden,12/16/20,12:47,C. vulgaris,3,3,A,1,6,925.79,
Tamara Layden,12/16/20,12:47,C. vulgaris,3,3,B,1,6,1010.58,
Tamara Layden,12/16/20,12:48,C. vulgaris,3,3,C,1,6,968.56,
Tamara Layden,12/16/20,12:48,C. vulgaris,3,6,A,2,6,1380.08,
Tamara Layden,12/16/20,12:48,C. vulgaris,3,6,B,2,6,1359.53,
Tamara Layden,12/16/20,12:48,C. vulgaris,3,6,C,2,6,1432.97,
Tamara Layden,12/16/20,12:48,C. vulgaris,3,9,A,3,6,1154.5,
Tamara Layden,12/16/20,12:48,C. vulgaris,3,9,B,3,6,1046.73,
Tamara Layden,12/16/20,12:48,C. vulgaris,3,9,C,3,6,1015.81,
Tamara Layden,12/16/20,12:49,C. vulgaris,3,12,A,4,6,1762.11,
Tamara Layden,12/16/20,12:49,C. vulgaris,3,12,B,4,6,1294.9,
Tamara Layden,12/16/20,12:49,C. vulgaris,3,12,C,4,6,1384.36,
Tamara Layden,12/16/20,12:49,C. vulgaris,3,15,A,5,6,1465.28,
Tamara Layden,12/16/20,12:49,C. vulgaris,3,15,B,5,6,1893.99,
Tamara Layden,12/16/20,12:49,C. vulgaris,3,15,C,5,6,1104.68,
Tamara Layden,12/16/20,12:49,C. vulgaris,3,18,A,6,6,1190.59,
Tamara Layden,12/16/20,12:50,C. vulgaris,3,18,B,6,6,1206.66,
Tamara Layden,12/16/20,12:50,C. vulgaris,3,18,C,6,6,1052.54,
Tamara Layden,12/16/20,12:50,C. vulgaris,3,21,A,7,6,885.57,
Tamara Layden,12/16/20,12:50,C. vulgaris,3,21,B,7,6,860.26,
Tamara Layden,12/16/20,12:50,C. vulgaris,3,21,C,7,6,808.66,
Tamara Layden,12/16/20,12:50,C. vulgaris,3,24,A,8,6,953.12,
Tamara Layden,12/16/20,12:50,C. vulgaris,3,24,B,8,6,2059.31,
Tamara Layden,12/16/20,12:51,C. vulgaris,3,24,C,8,6,718.66,
Tamara Layden,12/16/20,12:51,C. vulgaris,3,27,A,9,6,751.9,
Tamara Layden,12/16/20,12:51,C. vulgaris,3,27,B,9,6,725.41,
Tamara Layden,12/16/20,12:51,C. vulgaris,3,27,C,9,6,844.48,
Tamara Layden,12/16/20,14:53,C. ovata,4,1,D,1,1,1340.6,
Tamara Layden,12/16/20,14:54,C. ovata,4,1,E,1,1,1303.12,
Tamara Layden,12/16/20,14:54,C. ovata,4,1,F,1,1,1243.3,
Tamara Layden,12/16/20,14:54,C. ovata,4,4,D,2,1,652.1,
Tamara Layden,12/16/20,14:54,C. ovata,4,4,E,2,1,551.86,
Tamara Layden,12/16/20,14:54,C. ovata,4,4,F,2,1,573.14,
Tamara Layden,12/16/20,14:54,C. ovata,4,7,D,3,1,663.11,
Tamara Layden,12/16/20,14:55,C. ovata,4,7,E,3,1,729.54,
Tamara Layden,12/16/20,14:55,C. ovata,4,7,F,3,1,771,
Tamara Layden,12/16/20,14:55,C. ovata,4,10,D,4,1,1103.65,
Tamara Layden,12/16/20,14:55,C. ovata,4,10,E,4,1,1059.26,
Tamara Layden,12/16/20,14:55,C. ovata,4,10,F,4,1,1417.48,
Tamara Layden,12/16/20,14:55,C. ovata,4,13,D,5,1,1013.4,
Tamara Layden,12/16/20,14:55,C. ovata,4,13,E,5,1,858.13,
Tamara Layden,12/16/20,14:56,C. ovata,4,13,F,5,1,987.71,
Tamara Layden,12/16/20,14:56,C. ovata,4,16,D,6,1,1004.64,
Tamara Layden,12/16/20,14:56,C. ovata,4,16,E,6,1,1113.39,
Tamara Layden,12/16/20,14:56,C. ovata,4,16,F,6,1,1541.94,
Tamara Layden,12/16/20,14:56,C. ovata,4,19,D,7,1,1089.88,
Tamara Layden,12/16/20,14:56,C. ovata,4,19,E,7,1,1240.62,
Tamara Layden,12/16/20,14:56,C. ovata,4,19,F,7,1,1092.05,
Tamara Layden,12/16/20,14:57,C. ovata,4,22,D,8,1,1199.47,
Tamara Layden,12/16/20,14:57,C. ovata,4,22,E,8,1,1354.38,
Tamara Layden,12/16/20,14:57,C. ovata,4,22,F,8,1,1389.02,
Tamara Layden,12/16/20,14:57,C. ovata,4,25,D,9,1,826.71,
Tamara Layden,12/16/20,14:57,C. ovata,4,25,E,9,1,970.4,
Tamara Layden,12/16/20,14:57,C. ovata,4,25,F,9,1,1279.77,
Tamara Layden,12/16/20,14:57,C. ovata,4,2,D,1,2,810.69,
Tamara Layden,12/16/20,14:58,C. ovata,4,2,E,1,2,897.56,
Tamara Layden,12/16/20,14:58,C. ovata,4,2,F,1,2,748.36,
Tamara Layden,12/16/20,14:58,C. ovata,4,5,D,2,2,2181.26,
Tamara Layden,12/16/20,14:58,C. ovata,4,5,E,2,2,1771.55,
Tamara Layden,12/16/20,14:58,C. ovata,4,5,F,2,2,1747.13,
Tamara Layden,12/16/20,14:58,C. ovata,4,8,D,3,2,1314.28,
Tamara Layden,12/16/20,14:58,C. ovata,4,8,E,3,2,1248.87,
Tamara Layden,12/16/20,14:59,C. ovata,4,8,F,3,2,1264.67,
Tamara Layden,12/16/20,14:59,C. ovata,4,11,D,4,2,1118.07,
Tamara Layden,12/16/20,14:59,C. ovata,4,11,E,4,2,1312.89,
Tamara Layden,12/16/20,14:59,C. ovata,4,11,F,4,2,1178.64,
Tamara Layden,12/16/20,14:59,C. ovata,4,14,D,5,2,1772.63,
Tamara Layden,12/16/20,14:59,C. ovata,4,14,E,5,2,2236.36,
Tamara Layden,12/16/20,15:00,C. ovata,4,14,F,5,2,1900.4,
Tamara Layden,12/16/20,15:00,C. ovata,4,17,D,6,2,854.8,
Tamara Layden,12/16/20,15:00,C. ovata,4,17,E,6,2,832.87,
Tamara Layden,12/16/20,15:00,C. ovata,4,17,F,6,2,568.43,
Tamara Layden,12/16/20,15:00,C. ovata,4,20,D,7,2,1709.06,
Tamara Layden,12/16/20,15:00,C. ovata,4,20,E,7,2,1864.41,
Tamara Layden,12/16/20,15:00,C. ovata,4,20,F,7,2,1456.61,
Tamara Layden,12/16/20,15:01,C. ovata,4,23,D,8,2,1664.99,
Tamara Layden,12/16/20,15:01,C. ovata,4,23,E,8,2,1498.73,
Tamara Layden,12/16/20,15:01,C. ovata,4,23,F,8,2,1335.13,
Tamara Layden,12/16/20,15:01,C. ovata,4,26,D,9,2,1579.96,
Tamara Layden,12/16/20,15:01,C. ovata,4,26,E,9,2,1726.23,
Tamara Layden,12/16/20,15:01,C. ovata,4,26,F,9,2,1637.05,
Tamara Layden,12/16/20,15:06,C. ovata,4,3,D,1,3,1675.83,
Tamara Layden,12/16/20,15:06,C. ovata,4,3,E,1,3,1517.31,
Tamara Layden,12/16/20,15:07,C. ovata,4,3,F,1,3,1664.2,
Tamara Layden,12/16/20,15:07,C. ovata,4,6,D,2,3,2799.62,
Tamara Layden,12/16/20,15:07,C. ovata,4,6,E,2,3,2628.34,
Tamara Layden,12/16/20,15:07,C. ovata,4,6,F,2,3,2938.9,
Tamara Layden,12/16/20,15:07,C. ovata,4,9,D,3,3,5548.63,
Tamara Layden,12/16/20,15:07,C. ovata,4,9,E,3,3,6192.55,
Tamara Layden,12/16/20,15:07,C. ovata,4,9,F,3,3,5677.34,
Tamara Layden,12/16/20,15:08,C. ovata,4,12,D,4,3,5746.57,
Tamara Layden,12/16/20,15:08,C. ovata,4,12,E,4,3,6144.04,
Tamara Layden,12/16/20,15:08,C. ovata,4,12,F,4,3,6345.9,
Tamara Layden,12/16/20,15:08,C. ovata,4,15,D,5,3,2790.01,
Tamara Layden,12/16/20,15:08,C. ovata,4,15,E,5,3,2878.8,
Tamara Layden,12/16/20,15:08,C. ovata,4,15,F,5,3,2926.43,
Tamara Layden,12/16/20,15:08,C. ovata,4,18,D,6,3,2989.4,
Tamara Layden,12/16/20,15:09,C. ovata,4,18,E,6,3,2759.27,
Tamara Layden,12/16/20,15:09,C. ovata,4,18,F,6,3,2419.16,
Tamara Layden,12/16/20,15:09,C. ovata,4,21,D,7,3,1965.66,
Tamara Layden,12/16/20,15:09,C. ovata,4,21,E,7,3,1343.89,
Tamara Layden,12/16/20,15:09,C. ovata,4,21,F,7,3,1512.69,
Tamara Layden,12/16/20,15:09,C. ovata,4,24,D,8,3,1262.17,
Tamara Layden,12/16/20,15:09,C. ovata,4,24,E,8,3,1344.07,
Tamara Layden,12/16/20,15:10,C. ovata,4,24,F,8,3,1144.36,
Tamara Layden,12/16/20,15:10,C. ovata,4,27,D,9,3,2580.81,
Tamara Layden,12/16/20,15:10,C. ovata,4,27,E,9,3,1553.43,
Tamara Layden,12/16/20,15:10,C. ovata,4,27,F,9,3,1719.71,
Tamara Layden,12/16/20,15:10,C. ovata,3,1,D,1,4,2145.64,
Tamara Layden,12/16/20,15:10,C. ovata,3,1,E,1,4,2375.21,
Tamara Layden,12/16/20,15:10,C. ovata,3,1,F,1,4,2130.79,
Tamara Layden,12/16/20,15:11,C. ovata,3,4,D,2,4,3670.98,
Tamara Layden,12/16/20,15:11,C. ovata,3,4,E,2,4,3945.43,
Tamara Layden,12/16/20,15:11,C. ovata,3,4,F,2,4,3267.56,
