Species Name,Longitudes,latitudes,month ,year,ERSST value
'Akashiwo sanguinea',-8.25,88.25,8,2001,-1.8
'Alexandrium minutum',34.25,78.25,7,1999,2.08
'Alexandrium minutum',34.25,78.25,7,1999,2.08
'Alexandrium minutum',34.25,78.25,7,1999,2.08
'Alexandrium minutum',34.75,78.25,7,1999,2.08
'Alexandrium minutum',34.75,78.25,7,1999,2.08
'Alexandrium minutum',34.75,78.25,7,1999,2.08
'Alexandrium minutum',34.75,78.25,7,1999,2.08
'Alexandrium minutum',34.25,77.75,7,1999,2.08
'Alexandrium minutum',34.25,77.75,7,1999,2.08
'Alexandrium minutum',34.25,77.75,7,1999,2.08
'Alexandrium minutum',34.25,77.75,7,1999,2.08
'Alexandrium minutum',34.25,77.75,7,1999,2.08
'Alexandrium minutum',34.25,77.75,7,1999,2.08
'Alexandrium minutum',34.25,77.75,7,1999,2.08
'Alexandrium minutum',34.25,77.75,7,1999,2.08
'Alexandrium minutum',34.25,77.75,7,1999,2.08
'Alexandrium minutum',34.25,77.75,7,1999,2.08
'Alexandrium minutum',34.25,77.75,7,1999,2.08
'Alexandrium minutum',33.75,77.25,7,1999,2.08
'Alexandrium minutum',33.75,77.25,7,1999,2.08
'Alexandrium minutum',33.75,77.25,7,1999,2.08
'Alexandrium minutum',33.75,77.25,7,1999,2.08
'Alexandrium minutum',33.75,77.25,7,1999,2.08
'Alexandrium minutum',33.75,77.25,7,1999,2.08
'Alexandrium minutum',33.75,77.25,7,1999,2.08
'Alexandrium minutum',33.75,77.25,7,1999,2.08
'Alexandrium minutum',33.75,76.75,7,1999,4.44
'Alexandrium minutum',33.75,76.75,7,1999,4.44
'Alexandrium minutum',33.75,76.75,7,1999,4.44
'Alexandrium minutum',33.25,76.25,6,1999,2.5
'Alexandrium minutum',32.75,75.75,6,1999,2.63
'Alexandrium minutum',32.75,75.75,6,1999,2.63
'Alexandrium minutum',32.25,75.25,7,1999,4.54
'Alexandrium minutum',32.25,75.25,7,1999,4.54
'Alexandrium minutum',32.25,75.25,7,1999,4.54
'Alexandrium minutum',32.25,75.25,7,1999,4.54
'Alexandrium minutum',32.25,75.25,7,1999,4.54
'Alexandrium minutum',32.75,75.25,6,1999,2.63
'Alexandrium minutum',32.75,75.25,6,1999,2.63
'Alexandrium minutum',32.75,75.25,6,1999,2.63
'Alexandrium minutum',32.75,75.25,6,1999,2.63
'Alexandrium minutum',32.75,75.25,6,1999,2.63
'Alexandrium minutum',31.75,74.25,6,1999,4.88
'Alexandrium minutum',31.75,74.25,6,1999,4.88
'Alexandrium minutum',31.75,74.25,6,1999,4.88
'Alexandrium minutum',32.25,74.25,6,1999,4.88
'Alexandrium minutum',32.25,74.25,6,1999,4.88
'Alexandrium minutum',32.25,74.25,6,1999,4.88
'Alexandrium minutum',31.75,73.75,7,1999,6.69
'Alexandrium minutum',31.75,73.75,7,1999,6.69
'Alexandrium minutum',31.75,73.75,7,1999,6.69
'Alexandrium minutum',31.75,73.75,6,1999,4.88
'Alexandrium minutum',31.75,73.75,6,1999,4.88
'Alexandrium minutum',31.75,73.75,6,1999,4.88
'Alexandrium minutum',31.75,73.75,7,1999,6.69
'Alexandrium minutum',31.75,73.25,6,1999,4.88
'Alexandrium minutum',30.75,72.25,6,1999,6.08
'Alexandrium minutum',30.75,72.25,6,1999,6.08
'Alexandrium minutum',30.75,72.25,6,1999,6.08
'Alexandrium ostenfeldii',-3.75,76.75,7,1905,1.92
'Alexandrium ostenfeldii',68.75,76.25,10,1936,0.92
'Alexandrium ostenfeldii',68.75,76.25,10,1936,0.92
'Alexandrium ostenfeldii',68.75,76.25,10,1936,0.92
'Alexandrium ostenfeldii',68.75,76.25,10,1936,0.92
'Alexandrium ostenfeldii',68.75,76.25,10,1936,0.92
'Alexandrium ostenfeldii',68.75,76.25,10,1936,0.92
'Alexandrium ostenfeldii',68.75,76.25,10,1936,0.92
'Alexandrium ostenfeldii',63.75,75.75,9,1936,2.7
'Alexandrium ostenfeldii',63.75,75.75,9,1936,2.7
'Alexandrium ostenfeldii',63.75,75.75,9,1936,2.7
'Alexandrium ostenfeldii',63.75,75.75,9,1936,2.7
'Alexandrium ostenfeldii',63.75,75.75,9,1936,2.7
'Alexandrium ostenfeldii',63.75,75.75,9,1936,2.7
'Alexandrium ostenfeldii',66.75,75.75,9,1936,2.64
'Alexandrium ostenfeldii',66.75,75.75,9,1936,2.64
'Alexandrium ostenfeldii',71.25,75.75,9,1936,2.26
'Alexandrium ostenfeldii',71.25,75.75,9,1936,2.26
'Alexandrium ostenfeldii',32.25,75.25,7,1999,4.54
'Alexandrium ostenfeldii',32.25,75.25,7,1999,4.54
'Alexandrium ostenfeldii',32.25,75.25,7,1999,4.54
'Alexandrium ostenfeldii',64.25,74.75,9,1936,3.38
'Alexandrium ostenfeldii',64.25,74.75,9,1936,3.38
'Alexandrium ostenfeldii',69.25,74.75,9,1936,2.51
'Alexandrium ostenfeldii',69.25,74.75,9,1936,2.51
'Alexandrium ostenfeldii',72.75,74.75,9,1936,2.5
'Alexandrium ostenfeldii',72.75,74.75,9,1936,2.5
'Alexandrium ostenfeldii',58.75,74.25,9,1936,2.88
'Alexandrium ostenfeldii',58.75,74.25,9,1936,2.88
'Alexandrium ostenfeldii',58.75,74.25,9,1936,2.88
'Alexandrium ostenfeldii',58.75,74.25,9,1936,2.88
'Alexandrium ostenfeldii',58.75,74.25,9,1936,2.88
'Alexandrium ostenfeldii',58.75,74.25,9,1936,2.88
'Alexandrium ostenfeldii',72.75,74.25,9,1936,2.5
'Alexandrium ostenfeldii',72.75,74.25,9,1936,2.5
'Alexandrium ostenfeldii',31.75,73.75,7,1999,6.69
'Alexandrium ostenfeldii',31.75,73.75,7,1999,6.69
'Alexandrium ostenfeldii',59.25,71.75,8,1936,3.61
'Alexandrium ostenfeldii',59.25,71.75,8,1936,3.61
'Alexandrium ostenfeldii',56.75,71.25,8,1936,2.97
'Alexandrium ostenfeldii',56.75,71.25,8,1936,2.97
'Alexandrium ostenfeldii',56.75,71.25,8,1936,2.97
'Alexandrium ostenfeldii',56.75,71.25,8,1936,2.97
'Alexandrium ostenfeldii',56.75,71.25,8,1936,2.97
'Alexandrium ostenfeldii',56.75,71.25,8,1936,2.97
'Alexandrium ostenfeldii',56.75,71.25,8,1936,2.97
'Alexandrium ostenfeldii',58.75,71.25,8,1936,3.46
'Alexandrium ostenfeldii',58.75,71.25,8,1936,3.46
'Alexandrium ostenfeldii',62.75,71.25,8,1936,3.72
'Alexandrium ostenfeldii',62.75,71.25,8,1936,3.72
'Alexandrium ostenfeldii',66.25,71.25,8,1936,3.8
'Alexandrium ostenfeldii',66.25,71.25,8,1936,3.8
'Alexandrium ostenfeldii',63.25,70.75,8,1936,4.1
'Alexandrium ostenfeldii',63.25,70.75,8,1936,4.1
'Alexandrium ostenfeldii',60.75,70.25,8,1936,4.42
'Alexandrium ostenfeldii',60.75,70.25,8,1936,4.42
'Alexandrium ostenfeldii',60.75,70.25,8,1936,4.42
'Alexandrium ostenfeldii',60.75,70.25,8,1936,4.42
'Alexandrium ostenfeldii',60.75,70.25,8,1936,4.42
'Alexandrium ostenfeldii',60.75,70.25,8,1936,4.42
'Alexandrium ostenfeldii',63.25,70.25,8,1936,4.1
'Alexandrium ostenfeldii',63.25,70.25,8,1936,4.1
'Alexandrium ostenfeldii',65.25,70.25,8,1936,4.07
'Alexandrium ostenfeldii',65.25,70.25,8,1936,4.07
'Alexandrium ostenfeldii',62.75,69.75,8,1936,4.23
'Alexandrium ostenfeldii',62.75,69.75,8,1936,4.23
'Alexandrium ostenfeldii',65.25,69.75,8,1936,4.07
'Alexandrium ostenfeldii',65.25,69.75,8,1936,4.07
'Alexandrium ostenfeldii',65.25,69.75,8,1936,4.07
'Alexandrium tamarense',-4.75,88.25,8,2001,-1.8
'Alexandrium tamarense',34.25,78.25,7,1999,2.08
'Alexandrium tamarense',34.25,78.25,7,1999,2.08
'Alexandrium tamarense',73.25,77.75,4,1998,-1.8
'Alexandrium tamarense',73.25,77.75,4,1998,-1.8
'Alexandrium tamarense',70.25,77.25,4,1998,-1.8
'Alexandrium tamarense',70.25,77.25,4,1998,-1.8
'Alexandrium tamarense',32.75,76.25,5,1998,0.86
'Alexandrium tamarense',32.75,76.25,5,1998,0.86
'Alexandrium tamarense',33.25,75.75,5,1998,-0.07
'Alexandrium tamarense',33.25,75.75,5,1998,-0.07
'Alexandrium tamarense',32.75,75.25,5,1998,0.86
'Alexandrium tamarense',32.25,74.75,5,1998,3.45
'Alexandrium tamarense',32.25,74.75,5,1998,3.45
'Alexandrium tamarense',31.75,74.25,5,1998,3.45
'Alexandrium tamarense',31.75,74.25,5,1998,3.45
'Alexandrium tamarense',32.25,74.25,5,1998,3.45
'Alexandrium tamarense',32.25,74.25,5,1998,3.45
'Alexandrium tamarense',67.75,73.25,2,1999,-1.8
'Alexandrium tamarense',67.75,73.25,2,1999,-1.8
'Alexandrium tamarense',51.75,70.75,NaN,2000,2.066666667
'Alexandrium tamarense',51.75,70.75,NaN,2000,2.066666667
'Alexandrium tamarense',51.75,70.75,NaN,2000,2.066666667
'Alexandrium tamarense',50.25,70.25,NaN,2000,2.6475
'Alexandrium tamarense',50.25,70.25,NaN,2000,2.6475
'Alexandrium tamarense',50.25,70.25,NaN,2000,2.6475
'Alexandrium tamarense',-52.25,69.75,1,2006,-0.69
'Alexandrium tamarense',-52.25,69.75,1,2006,-0.69
'Alexandrium tamarense',34.75,69.75,9,1955,8.33
'Alexandrium tamarense',34.75,69.75,4,1957,3.34
'Alexandrium tamarense',34.75,69.75,4,1956,2.92
'Alexandrium tamarense',34.75,69.75,9,1955,8.33
'Alexandrium tamarense',34.75,69.75,9,1955,8.33
'Alexandrium tamarense',34.75,69.75,9,1955,8.33
'Alexandrium tamarense',34.75,69.75,9,1955,8.33
'Alexandrium tamarense',34.75,69.75,4,1956,2.92
'Alexandrium tamarense',18.25,69.25,4,2001,5.48
'Alexandrium tamarense',18.25,69.25,4,2001,5.48
'Alexandrium tamarense',18.25,69.25,4,1997,5.2
'Alexandrium tamarense',18.25,69.25,4,1997,5.2
'Alexandrium tamarense',18.25,69.25,4,1997,5.2
'Alexandrium tamarense',18.25,69.25,4,2001,5.48
'Alexandrium tamarense',18.25,69.25,4,1997,5.2
'Alexandrium tamarense',18.25,69.25,4,1997,5.2
'Alexandrium tamarense',18.25,69.25,4,1997,5.2
'Alexandrium tamarense',18.25,69.25,4,2001,5.48
'Alexandrium tamarense',18.25,69.25,4,2001,5.48
'Alexandrium tamarense',18.25,69.25,4,2001,5.48
'Alexandrium tamarense',18.25,69.25,4,1997,5.2
'Alexandrium tamarense',18.25,69.25,4,2001,5.48
'Alexandrium tamarense',18.25,69.25,4,2001,5.48
'Alexandrium tamarense',18.25,69.25,4,2001,5.48
'Alexandrium tamarense',18.25,69.25,4,1997,5.2
'Alexandrium tamarense',18.25,69.25,4,2001,5.48
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,9,1996,9.22
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,6,1996,7.65
'Alexandrium tamarense',18.75,69.25,9,1996,9.22
'Alexandrium tamarense',18.75,69.25,6,1996,7.65
'Alexandrium tamarense',18.75,69.25,6,1996,7.65
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,9,1996,9.22
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,7,1996,9.42
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,8,1996,10.51
'Alexandrium tamarense',18.75,69.25,9,1996,9.22
'Alexandrium tamarense',34.25,69.25,4,1955,3.21
'Alexandrium tamarense',34.25,69.25,9,1954,7.86
'Alexandrium tamarense',34.25,69.25,4,1955,3.21
'Alexandrium tamarense',34.25,69.25,4,1957,3.34
'Alexandrium tamarense',34.25,69.25,9,1954,7.86
'Alexandrium tamarense',34.25,69.25,4,1956,2.92
'Alexandrium tamarense',34.25,69.25,9,1955,8.33
'Alexandrium tamarense',34.25,69.25,9,1955,8.33
'Alexandrium tamarense',34.25,69.25,4,1955,3.21
'Alexandrium tamarense',34.25,69.25,9,1955,8.33
'Alexandrium tamarense',35.25,69.25,9,1954,7.65
'Alexandrium tamarense',35.25,69.25,4,1957,3.03
'Alexandrium tamarense',35.25,69.25,4,1957,3.03
'Alexandrium tamarense',35.25,69.25,9,1954,7.65
'Alexandrium tamarense',35.25,69.25,4,1955,2.99
'Alexandrium tamarense',35.25,69.25,10,1957,6.27
'Alexandrium tamarense',35.25,69.25,4,1955,2.99
